Name,Time,X,Y,Layer,Observed,Computed,Weight,Group,Residual
D-3,3308.000000,2275015.573300,10432448.407315,12,6551.100000,6514.484977,1.000000,1,36.615023
D-3,4150.000000,2275015.573300,10432448.407315,12,6541.810000,6517.192439,1.000000,1,24.617561
D-3,4413.000000,2275015.573300,10432448.407315,12,6541.960000,6516.958857,1.000000,1,25.001143
DH-10,543.000000,2274821.121415,10432323.400222,12,6503.700000,6512.334300,1.000000,1,-8.634300
DH-10,928.000000,2274821.121415,10432323.400222,12,6502.700000,6512.689852,1.000000,1,-9.989852
DH-10,1292.000000,2274821.121415,10432323.400222,12,6510.700000,6512.832724,1.000000,1,-2.132724
DH-10,1670.000000,2274821.121415,10432323.400222,12,6512.700000,6512.917699,1.000000,1,-0.217699
DH-10,2035.000000,2274821.121415,10432323.400222,12,6508.700000,6512.975367,1.000000,1,-4.275367
DH-10,2401.000000,2274821.121415,10432323.400222,12,6508.700000,6512.853797,1.000000,1,-4.153797
DH-10,2764.000000,2274821.121415,10432323.400222,12,6509.700000,6512.617903,1.000000,1,-2.917903
DH-10,3133.000000,2274821.121415,10432323.400222,12,6507.700000,6512.392870,1.000000,1,-4.692870
DH-10,3308.000000,2274821.121415,10432323.400222,12,6507.700000,6512.380986,1.000000,1,-4.680986
DH-10,3785.000000,2274821.121415,10432323.400222,12,6512.700000,6514.227166,1.000000,1,-1.527166
DH-10,4139.000000,2274821.121415,10432323.400222,12,6514.700000,6515.091634,1.000000,1,-0.391634
DH-10,4505.000000,2274821.121415,10432323.400222,12,6518.700000,6515.075338,1.000000,1,3.624662
DH-10,4870.000000,2274821.121415,10432323.400222,12,6514.700000,6515.477214,1.000000,1,-0.777214
DH-10,5235.000000,2274821.121415,10432323.400222,12,6514.700000,6516.136081,1.000000,1,-1.436081
DH-10,5600.000000,2274821.121415,10432323.400222,12,6515.700000,6517.192220,1.000000,1,-1.492220
DH-10,5966.000000,2274821.121415,10432323.400222,12,6516.580000,6518.088513,1.000000,1,-1.508513
DH-10,6278.000000,2274821.121415,10432323.400222,12,6515.600000,6518.024184,1.000000,1,-2.424184
DM80-1,3470.000000,2273765.122027,10435099.482120,12,6554.200000,6555.509141,1.000000,1,-1.309141
DM80-1,3785.000000,2273765.122027,10435099.482120,12,6553.200000,6556.504463,1.000000,1,-3.304463
DM80-1,4150.000000,2273765.122027,10435099.482120,12,6553.290000,6557.157728,1.000000,1,-3.867728
DM80-1,4516.000000,2273765.122027,10435099.482120,12,6552.880000,6557.027024,1.000000,1,-4.147024
DM80-1,4881.000000,2273765.122027,10435099.482120,12,6552.540000,6557.149292,1.000000,1,-4.609292
DM80-1,5235.000000,2273765.122027,10435099.482120,12,6552.180000,6557.483873,1.000000,1,-5.303873
DM80-1,5600.000000,2273765.122027,10435099.482120,12,6552.040000,6558.091634,1.000000,1,-6.051634
DM80-1,5966.000000,2273765.122027,10435099.482120,12,6551.580000,6558.527104,1.000000,1,-6.947104
DM80-1,6301.000000,2273765.122027,10435099.482120,12,6551.450000,6558.250142,1.000000,1,-6.800142
DM80-1,6757.000000,2273765.122027,10435099.482120,12,6552.130000,6557.731346,1.000000,1,-5.601346
DM80-1,7031.000000,2273765.122027,10435099.482120,12,6552.280000,6557.407974,1.000000,1,-5.127974
DM80-1,7397.000000,2273765.122027,10435099.482120,12,6552.080000,6557.226770,1.000000,1,-5.146770
DM80-1,7670.000000,2273765.122027,10435099.482120,12,6551.980000,6557.657715,1.000000,1,-5.677715
DM80-1,8218.000000,2273765.122027,10435099.482120,12,6552.400000,6557.159418,1.000000,1,-4.759418
DM80-1,8522.000000,2273765.122027,10435099.482120,12,6551.800000,6556.698405,1.000000,1,-4.898405
DM80-1,8888.000000,2273765.122027,10435099.482120,12,6551.600000,6556.136070,1.000000,1,-4.536070
DM80-1,9314.000000,2273765.122027,10435099.482120,12,6551.420000,6555.535705,1.000000,1,-4.115705
DM80-1,9679.000000,2273765.122027,10435099.482120,12,6551.260000,6555.055019,1.000000,1,-3.795019
DM80-1,9800.000000,2273765.122027,10435099.482120,12,6551.420000,6554.898978,1.000000,1,-3.478978
DM80-1,10410.000000,2273765.122027,10435099.482120,12,6551.300000,6554.247625,1.000000,1,-2.947625
DM80-1,10714.000000,2273765.122027,10435099.482120,12,6551.200000,6554.014430,1.000000,1,-2.814430
DM80-1,10865.000000,2273765.122027,10435099.482120,12,6551.200000,6553.915652,1.000000,1,-2.715652
DM80-2,3961.000000,2275591.526886,10430848.558918,12,6544.430000,6522.947437,1.000000,1,21.482563
DM80-2,6301.000000,2275591.526886,10430848.558918,12,6547.700000,6526.619368,1.000000,1,21.080632
DM80-2,6757.000000,2275591.526886,10430848.558918,12,6547.200000,6525.888154,1.000000,1,21.311846
DM80-2,7031.000000,2275591.526886,10430848.558918,12,6546.900000,6524.659236,1.000000,1,22.240764
DM80-2,7397.000000,2275591.526886,10430848.558918,12,6546.590000,6522.800468,1.000000,1,23.789532
DM80-2,7670.000000,2275591.526886,10430848.558918,12,6546.330000,6522.553223,1.000000,1,23.776777
DM80-2,8218.000000,2275591.526886,10430848.558918,12,6545.970000,6521.010946,1.000000,1,24.959054
DM80-2,8522.000000,2275591.526886,10430848.558918,12,6544.790000,6519.361979,1.000000,1,25.428021
DM80-2,8888.000000,2275591.526886,10430848.558918,12,6545.810000,6517.146294,1.000000,1,28.663706
DM80-2,9314.000000,2275591.526886,10430848.558918,12,6544.360000,6514.663420,1.000000,1,29.696580
DM80-2,9679.000000,2275591.526886,10430848.558918,12,6545.550000,6512.840862,1.000000,1,32.709138
DM80-2,9800.000000,2275591.526886,10430848.558918,12,6545.550000,6512.319159,1.000000,1,33.230841
DM80-2,10410.000000,2275591.526886,10430848.558918,12,6544.300000,6510.324839,1.000000,1,33.975161
DM80-2,10714.000000,2275591.526886,10430848.558918,12,6545.030000,6509.245527,1.000000,1,35.784473
DM80-2,10865.000000,2275591.526886,10430848.558918,12,6544.960000,6508.619929,1.000000,1,36.340071
DM80-3,9800.000000,2272826.776219,10432256.119832,12,6519.120000,6493.229671,1.000000,1,25.890329
DM80-3,10410.000000,2272826.776219,10432256.119832,12,6519.090000,6491.232576,1.000000,1,27.857424
DM80-3,10714.000000,2272826.776219,10432256.119832,12,6518.950000,6489.361418,1.000000,1,29.588582
DM80-3,10865.000000,2272826.776219,10432256.119832,12,6520.700000,6488.296063,1.000000,1,32.403937
DM80-4,3785.000000,2272683.553903,10432110.719176,12,6495.900000,6507.222731,1.000000,1,-11.322731
DM80-4,4150.000000,2272683.553903,10432110.719176,12,6495.400000,6508.162711,1.000000,1,-12.762711
DM80-4,4421.000000,2272683.553903,10432110.719176,12,6492.610000,6508.479298,1.000000,1,-15.869298
DM80-4,6301.000000,2272683.553903,10432110.719176,12,6495.050000,6511.793215,1.000000,1,-16.743215
DM80-4,6757.000000,2272683.553903,10432110.719176,12,6494.180000,6510.171593,1.000000,1,-15.991593
DM80-4,7031.000000,2272683.553903,10432110.719176,12,6493.410000,6507.802534,1.000000,1,-14.392534
DM80-4,7397.000000,2272683.553903,10432110.719176,12,6492.100000,6505.673227,1.000000,1,-13.573227
DM80-4,7670.000000,2272683.553903,10432110.719176,12,6491.960000,6506.032227,1.000000,1,-14.072227
DM80-4,8218.000000,2272683.553903,10432110.719176,12,6491.120000,6503.162024,1.000000,1,-12.042024
DM80-4,8522.000000,2272683.553903,10432110.719176,12,6490.540000,6500.678223,1.000000,1,-10.138223
DM80-4,8888.000000,2272683.553903,10432110.719176,12,6489.760000,6498.005986,1.000000,1,-8.245986
DM80-4,9314.000000,2272683.553903,10432110.719176,12,6489.080000,6495.065584,1.000000,1,-5.985584
DM80-4,9679.000000,2272683.553903,10432110.719176,12,6488.400000,6493.644875,1.000000,1,-5.244875
DM80-4,9800.000000,2272683.553903,10432110.719176,12,6488.800000,6493.373583,1.000000,1,-4.573583
DM80-4,10410.000000,2272683.553903,10432110.719176,12,6487.890000,6491.395288,1.000000,1,-3.505288
DM80-4,10714.000000,2272683.553903,10432110.719176,12,6487.360000,6489.591957,1.000000,1,-2.231957
DM80-4,10865.000000,2272683.553903,10432110.719176,12,6487.400000,6488.558721,1.000000,1,-1.158721
DM80-4,11493.000000,2272683.553903,10432110.719176,12,6488.650000,6484.776131,1.000000,1,3.873869
DM80-5,4150.000000,2272827.210560,10432251.227537,12,6491.890000,6508.519074,1.000000,1,-16.629074
DM80-5,4413.000000,2272827.210560,10432251.227537,12,6493.310000,6508.812199,1.000000,1,-15.502199
